item,unit,budget,jan,feb,march,april,may,june,july,aug,sep,oct,nov,dec,price
"Toner Cartridge, HP CF280A, LaserJet Pro M401/M425",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,13156
"TONER CART, HP CF280XC, Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,2901.6
"Toner Cartridge, HP CF281A (HP81A) Black LaserJet",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,2953.6
"Toner Cartridge, HP CF283A (HP83A) LaserJet Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,2953.6
"Toner Cartridge, HP CF283XC (HP83X) Black LJ",cart,0,0,0,0,0,0,0," ",0,0,0,0,0,2953.6
"Toner Cartridge, HP CF287A (HP87) Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,7056.4
"Toner Cartridge, HP CF325XC (HP25X) Black LaserJet",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,13156
"Toner Cartridge, HP CF350A Black LJ",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,2901.6
"Toner Cartridge, HP CF351A Cyan LJ",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,2953.6
"Toner Cartridge, HP CF352A Yellow LJ",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,2953.6
"Toner Cartridge, HP CF353A Magenta LJ",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,2953.6
"Toner Cartridge, HP CF360A (HP508A) Black LaserJet",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,7056.4
"Toner Cartridge, HP CF361A (HP508A) Cyan LaserJet",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,8846.24
"Toner Cartridge, HP CF362A (HP508A) Yellow",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,8846.24
"Toner Cartridge, HP CF363A (HP508A) Magenta",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,8846.24
"Toner Cartridge, HP CF400A (HP201A) Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,3429.78
"Toner Cartridge, HP CF401A (HP201A) Cyan",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,4043.83
"Toner Cartridge, HP CF402A (HP201A) Yellow",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,4043.83
"Toner Cartridge, HP CF402A (HP201A) Yellow",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,4043.83
"Toner Cartridge, HP CF410A (HP410A) black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,4440.8
"Toner Cartridge, HP CF410XC (HP410XC) black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,7441.2
"Toner Cartridge, HP CF411A (HP410A) cyan",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,5616
"Toner Cartridge, HP CF411XC (HP410XC) cyan",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,7472.4
"Toner Cartridge, HP CF412A (HP410A) yellow",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,5616
"Toner Cartridge, HP CF412XC (HP410XC) yellow",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,7472.4
"Toner Cartridge, HP CF413A (HP410A) magenta",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,5616
"Toner Cartridge, HP CF413XC (HP410XC) magenta",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,7472.4
"TONER CART, HP Q2612A, Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,4000
"TONER CART, HP Q7553A, Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,4399.2
"TONER CART, SAMSUNG MLT-D101S, Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,3406
"TONER CART, SAMSUNG MLT-D103S, Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,2350.4
"TONER CART, SAMSUNG MLT-D104S, Black",cart,0,0,0,0,0,0,0,,0,0,0,0,0,2454.4
"TONER CART, SAMSUNG MLT-D105L, Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,3380
"TONER CART, Samsung MLT-D108S, Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,2875.58
"TONER CART, Samsung MLT-D203E, Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,7259.2
"TONER CART, Samsung MLT-D203L, Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,3458
"TONER CART, Samsung MLT-D203U, Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,6442.8
"TONER CART, SAMSUNG MLT-D205E, Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,7321.14
"TONER CART, SAMSUNG MLT-D205L, Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,3962.24
"TONER CART, SAMSUNG SCX-D6555A, Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,4066.4
"TONER CART, BROTHER TN-3478, Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,6370
"TONER CART, CANON CRG 324 II",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,13399.36
